Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
16.000	0.40000	12.303	0.081278	52.351	84.862	9.7488	3.1179	5.5248	237.67	1.4573	3.2456	0.023748	supercritical
16.100	0.40000	12.220	0.081836	52.680	85.415	9.7832	3.1180	5.5202	238.46	1.4431	3.2574	0.023831	supercritical
16.200	0.40000	12.137	0.082394	53.009	85.966	9.8173	3.1180	5.5157	239.24	1.4290	3.2692	0.023914	supercritical
16.300	0.40000	12.055	0.082951	53.337	86.518	9.8513	3.1181	5.5113	240.01	1.4152	3.2809	0.023996	supercritical
16.400	0.40000	11.975	0.083507	53.666	87.069	9.8850	3.1181	5.5070	240.79	1.4014	3.2926	0.024079	supercritical
16.500	0.40000	11.896	0.084063	53.994	87.619	9.9184	3.1182	5.5027	241.56	1.3879	3.3043	0.024161	supercritical
16.600	0.40000	11.818	0.084619	54.322	88.169	9.9517	3.1182	5.4986	242.33	1.3746	3.3160	0.024243	supercritical
16.700	0.40000	11.741	0.085174	54.649	88.719	9.9847	3.1182	5.4946	243.09	1.3614	3.3277	0.024325	supercritical
16.800	0.40000	11.665	0.085728	54.977	89.268	10.017	3.1183	5.4906	243.85	1.3483	3.3393	0.024407	supercritical
16.900	0.40000	11.590	0.086282	55.304	89.817	10.050	3.1183	5.4868	244.61	1.3355	3.3510	0.024488	supercritical
17.000	0.40000	11.516	0.086836	55.631	90.365	10.082	3.1184	5.4830	245.37	1.3227	3.3626	0.024570	supercritical
17.100	0.40000	11.443	0.087389	55.958	90.914	10.115	3.1184	5.4793	246.12	1.3102	3.3741	0.024651	supercritical
17.200	0.40000	11.371	0.087942	56.284	91.461	10.146	3.1184	5.4756	246.87	1.2978	3.3857	0.024732	supercritical
17.300	0.40000	11.300	0.088495	56.611	92.009	10.178	3.1185	5.4721	247.61	1.2855	3.3972	0.024813	supercritical
17.400	0.40000	11.230	0.089047	56.937	92.556	10.210	3.1185	5.4686	248.36	1.2734	3.4088	0.024894	supercritical
17.500	0.40000	11.161	0.089598	57.263	93.102	10.241	3.1185	5.4652	249.10	1.2614	3.4203	0.024975	supercritical
17.600	0.40000	11.093	0.090149	57.589	93.649	10.272	3.1186	5.4618	249.84	1.2496	3.4317	0.025055	supercritical
17.700	0.40000	11.025	0.090700	57.915	94.195	10.303	3.1186	5.4585	250.57	1.2379	3.4432	0.025136	supercritical
17.800	0.40000	10.959	0.091251	58.240	94.740	10.334	3.1186	5.4553	251.31	1.2263	3.4546	0.025216	supercritical
17.900	0.40000	10.893	0.091801	58.566	95.286	10.364	3.1187	5.4521	252.04	1.2149	3.4660	0.025296	supercritical
18.000	0.40000	10.828	0.092350	58.891	95.831	10.395	3.1187	5.4490	252.76	1.2036	3.4774	0.025376	supercritical
